Itération,Sync Timestamp,EstimatedX,EstimatedY,Orientation (en degrés),?distance,Rssi Set,,,,,,Timestamp,True Position index,Sync Timestamp,TrueX,TrueY,ErrorX,ErrorY
72,08-avril-2016 11:26:21.166 ,"2,750717","3,321058",-77,"0,820755", {Ml1B:-71,56WR:-86,tBfJ:-82,z6SH:-67,IKAo:-69,T0Fy:-86} , 08-avril-2016 11:26:20.851,29,08-avril-2016 11:26:21.166,"0,86","2,98","1,890717","0,341058"
73,08-avril-2016 11:26:21.166 ,"2,698353","3,134161",-74,"0,168764", {Ml1B:-76,56WR:-86,tBfJ:-85,z6SH:-68,IKAo:-66,T0Fy:-81} , 08-avril-2016 11:26:21.864,,,,,,
74,08-avril-2016 11:26:21.166 ,"2,863871","3,180904",-82,"0,305599", {Ml1B:-73,56WR:-86,tBfJ:-81,z6SH:-72,IKAo:-65,T0Fy:-83} , 08-avril-2016 11:26:22.872,,,,,,
75,08-avril-2016 11:26:21.166 ,"2,905686","2,944971",-78,"0,192222", {Ml1B:-73,56WR:-86,tBfJ:-82,z6SH:-69,IKAo:-62,T0Fy:-82} , 08-avril-2016 11:26:23.888,,,,,,
76,08-avril-2016 11:26:24.777 ,"2,956724","2,748449",-68,"0,15827", {Ml1B:-70,56WR:-86,tBfJ:-83,z6SH:-69,IKAo:-63,T0Fy:-82} , 08-avril-2016 11:26:25.034,30,08-avril-2016 11:26:24.777,"0,86","0,98","2,096724","1,768449"
77,08-avril-2016 11:26:24.777 ,"3,140828","2,676836",-2,"0,196395", {Ml1B:-69,56WR:-86,tBfJ:-78,z6SH:-72,IKAo:-59,T0Fy:-82} , 08-avril-2016 11:26:26.180,,,,,,
78,08-avril-2016 11:26:24.777 ,"3,352122","2,575937",-1,"0,248845", {Ml1B:-69,56WR:-88,tBfJ:-84,z6SH:-76,IKAo:-59,T0Fy:-82} , 08-avril-2016 11:26:27.465,,,,,,
79,08-avril-2016 11:26:24.777 ,"3,97477","2,486737",-3,"0,559746", {Ml1B:-71,56WR:-87,tBfJ:-86,z6SH:-70,IKAo:-59,T0Fy:-82} , 08-avril-2016 11:26:28.473,,,,,,
80,08-avril-2016 11:26:30.168 ,"2,427702","1,575407",-14,"0,837254", {Ml1B:-82,56WR:-84,tBfJ:-83,z6SH:-70,IKAo:-58,T0Fy:-78} , 08-avril-2016 11:26:30.533,31,08-avril-2016 11:26:30.168,"2,86","0,98","0,432298","0,595407"
81,08-avril-2016 11:26:30.168 ,"3,015042","1,509055",-11,"0,647299", {Ml1B:-77,56WR:-85,tBfJ:-83,z6SH:-71,IKAo:-61,T0Fy:-76} , 08-avril-2016 11:26:31.543,,,,,,
