19.260000 ; 2.270000 ; N ; {Ml1B:-74;56WR:-93;tBfJ:-88;z6SH:-72;T0Fy:-74;IKAo:-86} 
19.260000 ; 2.270000 ; NE ; {Ml1B:-76;56WR:-85;tBfJ:-83;z6SH:-73;T0Fy:-75} ;
19.260000 ; 2.270000 ; E ; {Ml1B:-70;56WR:-89;z6SH:-72;T0Fy:-68} ;;
19.260000 ; 2.270000 ; SE ; {Ml1B:-68;56WR:-82;tBfJ:-85;z6SH:-76;T0Fy:-65} ;
19.260000 ; 2.270000 ; S ; {Ml1B:-68;56WR:-90;z6SH:-72;T0Fy:-72;IKAo:-87} ;
19.260000 ; 2.270000 ; SW ; {Ml1B:-64;56WR:-87;tBfJ:-85;z6SH:-73;T0Fy:-74;IKAo:-88} 
19.260000 ; 2.270000 ; W ; {Ml1B:-74;56WR:-85;tBfJ:-89;z6SH:-70;T0Fy:-71;IKAo:-89} 
19.260000 ; 2.270000 ; NW ; {Ml1B:-71;56WR:-86;tBfJ:-90;z6SH:-76;T0Fy:-72;IKAo:-91} 
17.130000 ; 1.200000 ; NE ; {Ml1B:-75;56WR:-85;tBfJ:-84;z6SH:-77;T0Fy:-63;IKAo:-83} 
17.130000 ; 1.200000 ; N ; {Ml1B:-76;56WR:-84;tBfJ:-88;z6SH:-72;T0Fy:-64;IKAo:-89} 
17.130000 ; 1.200000 ; E ; {Ml1B:-71;56WR:-87;tBfJ:-90;z6SH:-71;T0Fy:-63;IKAo:-87} 
17.130000 ; 1.200000 ; SE ; {Ml1B:-74;56WR:-88;tBfJ:-89;z6SH:-71;T0Fy:-66;IKAo:-86} 
17.130000 ; 1.200000 ; S ; {Ml1B:-72;56WR:-84;tBfJ:-88;z6SH:-66;T0Fy:-66;IKAo:-83} 
17.130000 ; 1.200000 ; SW ; {Ml1B:-71;56WR:-86;tBfJ:-83;z6SH:-68;T0Fy:-74;IKAo:-90} 
17.130000 ; 1.200000 ; W ; {Ml1B:-70;56WR:-79;tBfJ:-90;z6SH:-71;T0Fy:-64;IKAo:-81} 
17.130000 ; 1.200000 ; NW ; {Ml1B:-70;56WR:-85;z6SH:-76;T0Fy:-66;IKAo:-84} ;
15.020000 ; 1.250000 ; NE ; {Ml1B:-77;56WR:-84;tBfJ:-85;z6SH:-73;T0Fy:-60;IKAo:-84} 
15.020000 ; 1.250000 ; N ; {Ml1B:-77;56WR:-91;tBfJ:-86;z6SH:-80;T0Fy:-64;IKAo:-78} 
15.020000 ; 1.250000 ; E ; {Ml1B:-73;56WR:-82;tBfJ:-89;z6SH:-68;T0Fy:-62;IKAo:-86} 
15.020000 ; 1.250000 ; SE ; {Ml1B:-78;56WR:-84;z6SH:-76;T0Fy:-57;IKAo:-79} ;
15.020000 ; 1.250000 ; S ; {Ml1B:-80;56WR:-87;z6SH:-68;T0Fy:-55;IKAo:-78} ;
15.020000 ; 1.250000 ; SW ; {Ml1B:-71;56WR:-88;tBfJ:-91;z6SH:-69;T0Fy:-59;IKAo:-87} 
15.020000 ; 1.250000 ; W ; {Ml1B:-74;56WR:-82;tBfJ:-89;z6SH:-69;T0Fy:-63;IKAo:-87} 
15.020000 ; 1.250000 ; NW ; {Ml1B:-77;56WR:-88;tBfJ:-88;z6SH:-82;T0Fy:-57;IKAo:-85} 
12.920000 ; 1.220000 ; NE ; {Ml1B:-74;56WR:-83;tBfJ:-83;z6SH:-69;T0Fy:-67;IKAo:-80} 
12.920000 ; 1.220000 ; N ; {Ml1B:-78;56WR:-82;tBfJ:-89;z6SH:-75;T0Fy:-73;IKAo:-77} 
12.920000 ; 1.220000 ; E ; {Ml1B:-77;56WR:-84;tBfJ:-90;z6SH:-71;T0Fy:-65;IKAo:-82} 
12.920000 ; 1.220000 ; SE ; {Ml1B:-71;56WR:-87;tBfJ:-84;z6SH:-69;T0Fy:-64;IKAo:-81} 
12.920000 ; 1.220000 ; S ; {Ml1B:-74;56WR:-87;tBfJ:-80;z6SH:-65;T0Fy:-69;IKAo:-76} 
12.920000 ; 1.220000 ; SW ; {Ml1B:-67;56WR:-83;tBfJ:-85;z6SH:-63;T0Fy:-64;IKAo:-80} 
12.920000 ; 1.220000 ; W ; {Ml1B:-74;56WR:-84;tBfJ:-87;z6SH:-64;T0Fy:-67;IKAo:-80} 
12.920000 ; 1.220000 ; NW ; {Ml1B:-73;56WR:-82;z6SH:-71;T0Fy:-59;IKAo:-77} ;
9.710000 ; 1.220000 ; NE ; {Ml1B:-73;56WR:-82;tBfJ:-84;z6SH:-68;IKAo:-75;T0Fy:-77} 
9.710000 ; 1.220000 ; N ; {Ml1B:-74;56WR:-89;tBfJ:-77;z6SH:-77;T0Fy:-71;IKAo:-75} 
9.710000 ; 1.220000 ; NW ; {Ml1B:-77;56WR:-81;tBfJ:-86;z6SH:-74;T0Fy:-73;IKAo:-77} 
9.710000 ; 1.220000 ; W ; {Ml1B:-70;56WR:-81;tBfJ:-88;z6SH:-65;T0Fy:-71;IKAo:-84} 
9.710000 ; 1.220000 ; SW ; {Ml1B:-74;56WR:-80;tBfJ:-84;z6SH:-73;T0Fy:-77;IKAo:-81} 
9.710000 ; 1.220000 ; S ; {Ml1B:-74;56WR:-87;tBfJ:-89;z6SH:-72;IKAo:-76;T0Fy:-76} 
9.710000 ; 1.220000 ; SE ; {Ml1B:-74;56WR:-83;tBfJ:-84;z6SH:-77;T0Fy:-69;IKAo:-75} 
9.710000 ; 1.220000 ; E ; {Ml1B:-68;56WR:-87;tBfJ:-85;z6SH:-74;T0Fy:-73;IKAo:-77} 
5.440000 ; 1.240000 ; NE ; {Ml1B:-69;56WR:-84;tBfJ:-84;z6SH:-67;IKAo:-66;T0Fy:-83} 
5.440000 ; 1.240000 ; N ; {Ml1B:-71;56WR:-87;tBfJ:-85;z6SH:-80;IKAo:-76;T0Fy:-78} 
5.440000 ; 1.240000 ; NW ; {Ml1B:-71;56WR:-82;tBfJ:-90;z6SH:-77;IKAo:-67;T0Fy:-75} 
5.440000 ; 1.240000 ; W ; {Ml1B:-71;tBfJ:-88;z6SH:-79;IKAo:-68;T0Fy:-79} ;
5.440000 ; 1.240000 ; SW ; {Ml1B:-73;56WR:-89;tBfJ:-84;z6SH:-67;IKAo:-74;T0Fy:-80} 
5.440000 ; 1.240000 ; S ; {Ml1B:-74;56WR:-88;tBfJ:-85;z6SH:-72;IKAo:-67;T0Fy:-77} 
5.440000 ; 1.240000 ; SE ; {Ml1B:-79;56WR:-90;tBfJ:-88;z6SH:-75;IKAo:-71;T0Fy:-74} 
5.440000 ; 1.240000 ; E ; {Ml1B:-74;56WR:-86;tBfJ:-84;z6SH:-79;IKAo:-70;T0Fy:-74} 
3.300000 ; 1.270000 ; NE ; {Ml1B:-79;56WR:-87;tBfJ:-82;z6SH:-75;IKAo:-62;T0Fy:-86} 
3.300000 ; 1.270000 ; N ; {Ml1B:-76;tBfJ:-82;z6SH:-77;IKAo:-71;T0Fy:-76} ;
3.300000 ; 1.270000 ; NW ; {Ml1B:-68;56WR:-81;tBfJ:-88;z6SH:-74;IKAo:-60;T0Fy:-74} 
3.300000 ; 1.270000 ; W ; {Ml1B:-68;56WR:-90;tBfJ:-81;z6SH:-79;IKAo:-69;T0Fy:-82} 
3.300000 ; 1.270000 ; SW ; {Ml1B:-72;56WR:-80;tBfJ:-81;z6SH:-77;IKAo:-71;T0Fy:-81} 
3.300000 ; 1.270000 ; S ; {Ml1B:-74;56WR:-86;tBfJ:-78;z6SH:-76;IKAo:-70;T0Fy:-77} 
3.300000 ; 1.270000 ; SE ; {Ml1B:-76;56WR:-90;tBfJ:-82;z6SH:-73;IKAo:-65;T0Fy:-80} 
3.300000 ; 1.270000 ; E ; {Ml1B:-77;56WR:-87;tBfJ:-78;z6SH:-78;IKAo:-61;T0Fy:-86} 
6.520000 ; 3.330000 ; SE ; {Ml1B:-72;56WR:-86;tBfJ:-83;z6SH:-71;IKAo:-65;T0Fy:-82} 
6.520000 ; 3.330000 ; E ; {Ml1B:-71;56WR:-83;tBfJ:-85;z6SH:-78;IKAo:-78;T0Fy:-86} 
6.520000 ; 3.330000 ; NE ; {Ml1B:-71;56WR:-86;tBfJ:-83;z6SH:-72;IKAo:-70;T0Fy:-88} 
6.520000 ; 3.330000 ; N ; {Ml1B:-76;56WR:-87;tBfJ:-80;z6SH:-79;IKAo:-74;T0Fy:-78} 
6.520000 ; 3.330000 ; NW ; {Ml1B:-74;56WR:-88;tBfJ:-86;z6SH:-75;IKAo:-69;T0Fy:-86} 
6.520000 ; 3.330000 ; W ; {Ml1B:-69;56WR:-85;tBfJ:-82;z6SH:-75;IKAo:-68;T0Fy:-84} 
6.520000 ; 3.330000 ; SW ; {Ml1B:-70;56WR:-88;tBfJ:-84;z6SH:-75;IKAo:-72;T0Fy:-85} 
6.520000 ; 3.330000 ; S ; {Ml1B:-68;56WR:-85;tBfJ:-84;z6SH:-75;IKAo:-74;T0Fy:-86} 
6.470000 ; 5.380000 ; SE ; {Ml1B:-76;56WR:-89;tBfJ:-83;z6SH:-74;T0Fy:-72;IKAo:-76} 
6.470000 ; 5.380000 ; E ; {Ml1B:-73;56WR:-86;tBfJ:-86;z6SH:-75;IKAo:-70;T0Fy:-85} 
6.470000 ; 5.380000 ; NE ; {Ml1B:-78;56WR:-85;tBfJ:-86;z6SH:-72;IKAo:-69;T0Fy:-85} 
6.470000 ; 5.380000 ; N ; {Ml1B:-74;tBfJ:-89;z6SH:-76;T0Fy:-71;IKAo:-77} ;
6.470000 ; 5.380000 ; NW ; {Ml1B:-67;56WR:-87;tBfJ:-88;z6SH:-69;IKAo:-75;T0Fy:-79} 
6.470000 ; 5.380000 ; W ; {Ml1B:-64;56WR:-86;tBfJ:-79;z6SH:-75;IKAo:-69;T0Fy:-80} 
6.470000 ; 5.380000 ; SW ; {Ml1B:-68;56WR:-87;tBfJ:-77;z6SH:-71;IKAo:-73;T0Fy:-81} 
6.470000 ; 5.380000 ; S ; {Ml1B:-67;56WR:-85;tBfJ:-81;z6SH:-70;T0Fy:-79;IKAo:-81} 
6.510000 ; 7.410000 ; SE ; {Ml1B:-69;56WR:-85;tBfJ:-78;z6SH:-74;IKAo:-79;T0Fy:-86} 
6.510000 ; 7.410000 ; E ; {Ml1B:-72;56WR:-86;tBfJ:-72;z6SH:-73;IKAo:-83;T0Fy:-91} 
6.510000 ; 7.410000 ; NE ; {Ml1B:-68;56WR:-86;tBfJ:-84;z6SH:-74;IKAo:-78;T0Fy:-86} 
6.510000 ; 7.410000 ; N ; {Ml1B:-60;56WR:-81;tBfJ:-71;z6SH:-73;IKAo:-78;T0Fy:-82} 
6.510000 ; 7.410000 ; NW ; {Ml1B:-62;56WR:-84;tBfJ:-78;z6SH:-71;IKAo:-76;T0Fy:-82} 
6.510000 ; 7.410000 ; W ; {Ml1B:-63;56WR:-81;tBfJ:-79;z6SH:-71;IKAo:-76;T0Fy:-82} 
6.510000 ; 7.410000 ; SW ; {Ml1B:-64;56WR:-88;tBfJ:-73;z6SH:-74;IKAo:-72;T0Fy:-89} 
6.510000 ; 7.410000 ; S ; {Ml1B:-63;56WR:-82;tBfJ:-80;z6SH:-73;IKAo:-80;T0Fy:-85} 
9.730000 ; 7.400000 ; SW ; {Ml1B:-53;56WR:-85;tBfJ:-78;z6SH:-69;IKAo:-74;T0Fy:-82} 
9.730000 ; 7.400000 ; W ; {Ml1B:-53;56WR:-77;tBfJ:-88;z6SH:-67;T0Fy:-79;IKAo:-81} 
9.730000 ; 7.400000 ; NW ; {Ml1B:-66;56WR:-73;tBfJ:-87;z6SH:-65;T0Fy:-80;IKAo:-82} 
